,country_zone,country_name_en,country_currency_code,day,new_customer_amount,generic_customer_amount,total_amount
0,Europe,Austria,EUR,2018-01-02,2919.5968794704827,5609.374139712377,13465.654256260483
1,Europe,Austria,EUR,2018-01-03,996.2138000895903,3722.4860213248653,7478.507952751756
2,Europe,Austria,EUR,2018-01-04,915.333075725881,4228.483723746608,10914.952387912284
3,Europe,Austria,EUR,2018-01-05,2509.2751558692257,6129.180746293777,13066.182385927528
4,Europe,Austria,EUR,2018-01-08,2425.435380614161,3132.6485436480584,8334.265470531685
5,Europe,Austria,EUR,2018-01-09,916.3194260229994,4532.279615259077,9057.654778438326
6,Europe,Austria,EUR,2018-01-10,1486.4298977574383,1962.8370912656285,6250.501832839341
7,Europe,Austria,EUR,2018-01-11,1346.3681555666246,2440.2306350709373,7139.597990661871
8,Europe,Austria,EUR,2018-01-12,2298.196192285887,3045.8497175016387,12732.795985501507
9,Europe,Austria,EUR,2018-01-13,3086.2900796834933,7737.918080893897,17376.730454394386
10,Europe,Austria,EUR,2018-01-15,1850.3931573941302,3098.126283248914,10816.317358200444
11,Europe,Austria,EUR,2018-01-16,1790.2257892699074,3025.136361262152,8387.922926694928
12,Europe,Austria,EUR,2018-01-17,476.40719350819023,3310.1915971293715,7021.827765185934
13,Europe,Austria,EUR,2018-01-18,860.0974590872503,3861.166873099713,8485.177065990802
14,Europe,Austria,EUR,2018-01-19,559.2606184661364,6448.75824256014,13098.53467567301
15,Europe,Austria,EUR,2018-01-20,1009.0363539521296,3108.9761365172167,6846.257412298858
16,Europe,Austria,EUR,2018-01-22,581.9466752998597,7796.112748423883,11637.947155700076
17,Europe,Austria,EUR,2018-01-23,847.274905224711,2988.641400268771,6752.850039161745
18,Europe,Austria,EUR,2018-01-24,948.8689858279068,3058.672271364178,7154.985055296919
19,Europe,Austria,EUR,2018-01-25,339.3045022087318,5104.362787587753,9470.54101281209
20,Europe,Austria,EUR,2018-01-26,1300.0096916020595,4985.014401636426,9914.79318663422
21,Europe,Austria,EUR,2018-01-27,1044.5449646483924,6445.799191668785,16789.654757549513
